"TOA5","Clear Lake Outflow","CR800","47844","CR800.Std.32.05","CPU:Clear_Outflow_Rain_Gauge.CR8","727","Clear_Outflow_Min_15"
"TIMESTAMP","RECORD","BattV_Min","BattV_TMn","PTemp_C_Avg","Lvl_ft_Avg","Temp_C_Avg","Rain_in_Tot"
"TS","RN","Volts","","Deg C","feet","deg C","inch"
"","","Min","TMn","Avg","Avg","Avg","Tot"
2025-09-25T19:00:00Z,122905,10,2025-09-25T18:56:10Z,21.28,0.252,21.89,0
2025-09-25T19:15:00Z,122906,9.99,2025-09-25T19:15:00Z,20.79,0.252,21.83,0
2025-09-25T19:30:00Z,122907,9.98,2025-09-25T19:26:00Z,20.32,0.252,21.75,0
2025-09-25T19:45:00Z,122908,9.9,2025-09-25T19:42:45Z,19.85,0.252,21.68,0
2025-09-25T20:00:00Z,122909,9.9,2025-09-25T19:47:20Z,19.44,0.252,21.62,0
2025-09-25T20:15:00Z,122910,9.94,2025-09-25T20:13:15Z,19.04,0.253,21.56,0
2025-09-25T20:30:00Z,122911,9.93,2025-09-25T20:28:00Z,18.63,0.253,21.5,0
2025-09-25T20:45:00Z,122912,9.92,2025-09-25T20:41:20Z,18.21,0.252,21.44,0.01
2025-09-25T21:00:00Z,122913,9.92,2025-09-25T20:45:20Z,17.79,0.252,21.37,0
2025-09-25T21:15:00Z,122914,9.91,2025-09-25T21:06:35Z,17.41,0.252,21.29,0
2025-09-25T21:30:00Z,122915,9.9,2025-09-25T21:20:35Z,17.07,0.252,21.22,0
2025-09-25T21:45:00Z,122916,9.88,2025-09-25T21:35:30Z,16.83,0.25,21.17,0
2025-09-25T22:00:00Z,122917,9.88,2025-09-25T21:45:40Z,16.66,0.25,21.11,0
2025-09-25T22:15:00Z,122918,9.88,2025-09-25T22:11:30Z,16.51,0.25,21.05,0
2025-09-25T22:30:00Z,122919,9.88,2025-09-25T22:15:15Z,16.37,0.251,20.99,0
2025-09-25T22:45:00Z,122920,9.88,2025-09-25T22:30:20Z,16.22,0.252,20.94,0
2025-09-25T23:00:00Z,122921,9.9,2025-09-25T22:46:25Z,16.05,0.251,20.88,0
2025-09-25T23:15:00Z,122922,9.9,2025-09-25T23:02:00Z,15.85,0.252,20.83,0
2025-09-25T23:30:00Z,122923,9.89,2025-09-25T23:29:40Z,15.65,0.252,20.76,0
2025-09-25T23:45:00Z,122924,9.89,2025-09-25T23:40:15Z,15.43,0.252,20.7,0
2025-09-26T00:15:00Z,122926,9.88,2025-09-26T00:03:00Z,15.04,0.251,20.57,0
2025-09-26T00:30:00Z,122927,9.88,2025-09-26T00:29:50Z,14.9,0.25,20.51,0
2025-09-26T00:45:00Z,122928,9.88,2025-09-26T00:41:25Z,14.8,0.25,20.45,0
2025-09-26T01:00:00Z,122929,9.88,2025-09-26T00:48:35Z,14.7,0.25,20.39,0
2025-09-26T01:15:00Z,122930,9.88,2025-09-26T01:12:00Z,14.59,0.25,20.33,0
2025-09-26T01:30:00Z,122931,9.87,2025-09-26T01:25:55Z,14.48,0.25,20.27,0
2025-09-26T01:45:00Z,122932,9.87,2025-09-26T01:41:20Z,14.34,0.25,20.19,0
2025-09-26T02:00:00Z,122933,9.87,2025-09-26T01:53:55Z,14.18,0.25,20.13,0
2025-09-26T02:15:00Z,122934,9.87,2025-09-26T02:06:25Z,14.01,0.249,20.07,0
2025-09-26T02:30:00Z,122935,9.86,2025-09-26T02:30:00Z,13.86,0.249,20,0
2025-09-26T02:45:00Z,122936,9.86,2025-09-26T02:36:15Z,13.77,0.249,19.93,0
2025-09-26T03:00:00Z,122937,9.86,2025-09-26T02:45:05Z,13.7,0.249,19.86,0
2025-09-26T03:15:00Z,122938,9.86,2025-09-26T03:14:20Z,13.68,0.249,19.79,0
2025-09-26T03:30:00Z,122939,9.86,2025-09-26T03:15:15Z,13.68,0.249,19.74,0
2025-09-26T03:45:00Z,122940,9.86,2025-09-26T03:30:05Z,13.71,0.248,19.68,0
2025-09-26T04:00:00Z,122941,9.85,2025-09-26T03:50:00Z,13.78,0.248,19.62,0
2025-09-26T04:15:00Z,122942,9.85,2025-09-26T04:04:15Z,13.82,0.248,19.56,0
2025-09-26T04:30:00Z,122943,9.85,2025-09-26T04:19:45Z,13.85,0.248,19.5,0
2025-09-26T04:45:00Z,122944,9.85,2025-09-26T04:36:00Z,13.92,0.249,19.44,0
2025-09-26T05:00:00Z,122945,9.85,2025-09-26T04:46:00Z,13.99,0.248,19.38,0
2025-09-26T05:15:00Z,122946,9.85,2025-09-26T05:02:25Z,14.06,0.248,19.33,0
2025-09-26T05:30:00Z,122947,9.85,2025-09-26T05:15:05Z,14.12,0.247,19.3,0
2025-09-26T05:45:00Z,122948,9.85,2025-09-26T05:38:05Z,14.16,0.248,19.23,0
2025-09-26T06:00:00Z,122949,9.84,2025-09-26T05:54:50Z,14.14,0.248,19.21,0
2025-09-26T06:15:00Z,122950,9.84,2025-09-26T06:00:05Z,14.08,0.248,19.19,0
2025-09-26T06:30:00Z,122951,9.84,2025-09-26T06:22:55Z,13.99,0.248,19.16,0
2025-09-26T06:45:00Z,122952,9.84,2025-09-26T06:44:45Z,13.9,0.247,19.1,0
2025-09-26T07:00:00Z,122953,9.83,2025-09-26T06:52:00Z,13.79,0.248,19.04,0
2025-09-26T07:15:00Z,122954,9.83,2025-09-26T07:05:35Z,13.68,0.248,18.99,0
2025-09-26T07:30:00Z,122955,9.83,2025-09-26T07:17:50Z,13.58,0.248,18.95,0
2025-09-26T07:45:00Z,122956,9.83,2025-09-26T07:30:05Z,13.52,0.248,18.93,0
2025-09-26T08:00:00Z,122957,9.84,2025-09-26T07:47:45Z,13.47,0.248,18.91,0
2025-09-26T08:15:00Z,122958,9.85,2025-09-26T08:00:05Z,13.39,0.248,18.87,0
2025-09-26T08:30:00Z,122959,9.86,2025-09-26T08:17:50Z,13.35,0.248,18.82,0
2025-09-26T08:45:00Z,122960,9.87,2025-09-26T08:31:45Z,13.43,0.248,18.79,0
2025-09-26T09:00:00Z,122961,9.85,2025-09-26T08:58:05Z,13.62,0.247,18.78,0
2025-09-26T09:15:00Z,122962,9.85,2025-09-26T09:00:50Z,13.89,0.247,18.78,0
2025-09-26T09:30:00Z,122963,9.85,2025-09-26T09:16:30Z,14.45,0.247,18.78,0
2025-09-26T09:45:00Z,122964,9.88,2025-09-26T09:32:40Z,15.44,0.248,18.81,0
2025-09-26T10:00:00Z,122965,10.24,2025-09-26T09:45:05Z,16.53,0.248,18.89,0
2025-09-26T10:15:00Z,122966,10.42,2025-09-26T10:00:05Z,17.66,0.249,19.06,0
2025-09-26T10:30:00Z,122967,10.39,2025-09-26T10:27:35Z,18.58,0.249,19.24,0
2025-09-26T10:45:00Z,122968,10.39,2025-09-26T10:39:15Z,19.35,0.249,19.4,0
2025-09-26T11:00:00Z,122969,10.38,2025-09-26T10:48:55Z,19.93,0.248,19.6,0
2025-09-26T11:15:00Z,122970,12.5,2025-09-26T11:12:55Z,20.68,0.248,19.8,0.01
2025-09-26T11:30:00Z,122971,12.46,2025-09-26T11:29:05Z,21.35,0.248,20.12,0
2025-09-26T11:45:00Z,122972,12.43,2025-09-26T11:41:45Z,22,0.249,20.53,0
2025-09-26T12:00:00Z,122973,12.41,2025-09-26T11:58:15Z,22.59,0.249,20.92,0
2025-09-26T12:15:00Z,122974,12.4,2025-09-26T12:04:30Z,23.06,0.249,21.36,0
2025-09-26T12:30:00Z,122975,12.43,2025-09-26T12:16:55Z,23.51,0.249,21.81,0
2025-09-26T12:45:00Z,122976,12.44,2025-09-26T12:43:35Z,23.94,0.249,22.17,0
2025-09-26T13:00:00Z,122977,12.41,2025-09-26T12:53:15Z,24.24,0.247,22.51,0
2025-09-26T13:15:00Z,122978,12.4,2025-09-26T13:15:00Z,24.55,0.245,22.86,0
2025-09-26T13:30:00Z,122979,12.34,2025-09-26T13:30:00Z,24.93,0.247,23.22,0
2025-09-26T13:45:00Z,122980,12.29,2025-09-26T13:30:50Z,25.29,0.248,23.6,0
2025-09-26T14:00:00Z,122981,12.29,2025-09-26T13:47:00Z,25.56,0.249,23.94,0
2025-09-26T14:15:00Z,122982,12.27,2025-09-26T14:14:10Z,25.6,0.249,24.18,0
2025-09-26T14:30:00Z,122983,12.21,2025-09-26T14:30:00Z,25.57,0.249,24.44,0
2025-09-26T14:45:00Z,122984,12.17,2025-09-26T14:44:55Z,25.46,0.248,24.7,0
2025-09-26T15:00:00Z,122985,12.15,2025-09-26T14:56:30Z,25.3,0.249,24.93,0
2025-09-26T15:15:00Z,122986,11.95,2025-09-26T15:15:00Z,25.12,0.249,25.07,0
2025-09-26T15:30:00Z,122987,11.82,2025-09-26T15:26:30Z,24.95,0.25,25.11,0
2025-09-26T15:45:00Z,122988,11.52,2025-09-26T15:44:55Z,24.81,0.25,25.03,0
2025-09-26T16:00:00Z,122989,11.29,2025-09-26T15:56:15Z,24.66,0.25,24.94,0
2025-09-26T16:15:00Z,122990,10.73,2025-09-26T16:12:45Z,24.54,0.249,24.89,0
2025-09-26T16:30:00Z,122991,10.28,2025-09-26T16:24:00Z,24.51,0.248,24.82,0
2025-09-26T16:45:00Z,122992,10.31,2025-09-26T16:39:40Z,24.29,0.247,24.69,0
2025-09-26T17:00:00Z,122993,10.53,2025-09-26T16:45:20Z,24.19,0.248,24.56,0
2025-09-26T17:15:00Z,122994,10.23,2025-09-26T17:12:00Z,24.32,0.248,24.43,0
2025-09-26T17:30:00Z,122995,10.24,2025-09-26T17:28:25Z,24.19,0.248,24.28,0
2025-09-26T17:45:00Z,122996,10.23,2025-09-26T17:41:20Z,24.05,0.248,24.16,0
2025-09-26T18:00:00Z,122997,10.22,2025-09-26T17:55:50Z,23.9,0.249,24.05,0
2025-09-26T18:15:00Z,122998,10.08,2025-09-26T18:14:05Z,23.71,0.248,23.97,0
2025-09-26T18:30:00Z,122999,10.05,2025-09-26T18:18:40Z,23.48,0.249,23.87,0
2025-09-26T18:45:00Z,123000,10.04,2025-09-26T18:40:00Z,23.19,0.249,23.77,0
2025-09-26T19:00:00Z,123001,10.04,2025-09-26T18:50:35Z,22.85,0.248,23.68,0
2025-09-26T19:15:00Z,123002,10.03,2025-09-26T19:13:00Z,22.46,0.248,23.58,0
2025-09-26T19:30:00Z,123003,10.03,2025-09-26T19:29:40Z,22.04,0.249,23.49,0
2025-09-26T19:45:00Z,123004,10.03,2025-09-26T19:32:00Z,21.56,0.247,23.37,0
2025-09-26T20:00:00Z,123005,10,2025-09-26T19:58:00Z,21.01,0.246,23.29,0.01
2025-09-26T20:15:00Z,123006,9.96,2025-09-26T20:13:20Z,20.46,0.247,23.2,0
2025-09-26T20:30:00Z,123007,10.01,2025-09-26T20:24:00Z,19.89,0.248,23.08,0
2025-09-26T20:45:00Z,123008,9.98,2025-09-26T20:40:50Z,19.33,0.248,22.97,0
2025-09-26T21:00:00Z,123009,10,2025-09-26T20:46:35Z,18.85,0.247,22.86,0
2025-09-26T21:15:00Z,123010,9.98,2025-09-26T21:08:20Z,18.44,0.247,22.73,0
2025-09-26T21:30:00Z,123011,9.99,2025-09-26T21:22:55Z,18.08,0.247,22.6,0
2025-09-26T21:45:00Z,123012,9.98,2025-09-26T21:34:30Z,17.77,0.247,22.52,0
2025-09-26T22:00:00Z,123013,9.97,2025-09-26T21:58:15Z,17.53,0.247,22.45,0
2025-09-26T22:15:00Z,123014,9.88,2025-09-26T22:11:50Z,17.32,0.246,22.35,0
2025-09-26T22:30:00Z,123015,9.85,2025-09-26T22:27:35Z,17.14,0.246,22.27,0
2025-09-26T22:45:00Z,123016,9.86,2025-09-26T22:45:00Z,16.99,0.246,22.18,0
2025-09-26T23:00:00Z,123017,9.86,2025-09-26T22:45:50Z,16.81,0.246,22.1,0
2025-09-26T23:15:00Z,123018,9.95,2025-09-26T23:06:55Z,16.59,0.246,22.01,0
2025-09-26T23:30:00Z,123019,9.94,2025-09-26T23:24:20Z,16.37,0.246,21.93,0
2025-09-26T23:45:00Z,123020,9.94,2025-09-26T23:31:15Z,16.15,0.246,21.84,0
2025-09-27T00:15:00Z,123022,9.93,2025-09-27T00:12:25Z,15.81,0.246,21.67,0
2025-09-27T00:30:00Z,123023,9.86,2025-09-27T00:27:45Z,15.69,0.246,21.59,0
2025-09-27T00:45:00Z,123024,9.91,2025-09-27T00:35:05Z,15.58,0.245,21.52,0
2025-09-27T01:00:00Z,123025,9.91,2025-09-27T00:51:30Z,15.47,0.245,21.46,0
2025-09-27T01:15:00Z,123026,9.9,2025-09-27T01:14:05Z,15.32,0.245,21.38,0
2025-09-27T01:30:00Z,123027,9.9,2025-09-27T01:29:40Z,15.17,0.245,21.29,0
2025-09-27T01:45:00Z,123028,9.88,2025-09-27T01:42:00Z,15,0.245,21.21,0
2025-09-27T02:00:00Z,123029,9.88,2025-09-27T01:53:45Z,14.85,0.245,21.14,0
2025-09-27T02:15:00Z,123030,9.87,2025-09-27T02:13:30Z,14.72,0.245,21.06,0
